Term,Count
peckerwood,7
camel jockeys,6
wetback,5
border jumpers,4
nigga,4
niglet,4
nig nogs,3
towel heads,3
niglets,3
wigger,3
nigger,3
niggah,3
jigaboo,3
nigglet,3
whitey,2
wigga,2
nigguh,2
porch monkeys,2
pikers,2
nig nog,2
cowboy killer,2
slant eyes,2
nicca,2
dinks,1
trailer park trash,1
kneegroes,1
whiggers,1
wetbacks,1
honkie,1
sand monkeys,1
white trash,1
neechee,1
knacker,1
yellow bone,1
yokel,1
niggerette,1
groid,1
wogs,1
Zionazi,1
redskin,1
nigglets,1
camel humpers,1
bix nood,1
octaroon,1
paddy,1
quadroon,1
gooky,1
beaner,1
cotton pickers,1
Kushite,1
smoke jumpers,1
