Term,Count
wigger,7
wigga,6
krauts,5
Zionazi,4
surrender monkey,4
Chinaman,4
camel fucker,4
plastic paddy,4
kraut,3
chink,3
wiggas,3
guala,3
chinks,3
limeys,2
pikers,2
polacks,2
dogans,2
sand nigger,2
greaseballs,2
flips,2
greasers,2
wiggers,2
Masshole,2
Massholes,2
dinks,1
whiggers,1
wop,1
knacker,1
bog trotter,1
wogs,1
paddy,1
banana bender,1
booners,1
heinies,1
bohunks,1
globalists,1
whigger,1
hosers,1
pikeys,1
Fenians,1
bohunk,1
soup takers,1
Chinamen,1
Zionazis,1
dink,1
sideways pussy,1
pikey,1
ginzo,1
